id,title,description,topics,location,venue,start_time,end_time,speakers,capacity,track,lat,lon,address,website
WEF2026-011,"The Future Space Economy","Why No Company Can Ignore It - exploring commercial space opportunities at the House of Switzerland Crystal Lounge.","Space Economy;Commercial Space;Satellite Technology;Space Innovation","Kurgartenstrasse 6","House of Switzerland","2026-01-21 14:00","2026-01-21 16:00","",150,"Space & Technology",46.80045,9.83312,"Kurgartenstrasse 6, Davos, 7270, Switzerland","https://www.s-ge.com/en/event/s-ge-event/why-no-company-can-ignore-it"
WEF2026-012,"Digital Lounge @ Davos","Hosted by DMI focusing on data migration, digital transformation, and enterprise technology solutions.","Digital Transformation;Data;Enterprise Technology;Cloud;Migration","Obere Strasse 20","Zentrum Guggerbach Davos","2026-01-19 10:00","2026-01-23 17:00","",180,"Technology & Innovation",46.79789,9.83256,"Obere Strasse 20, Davos Platz, 7270, Switzerland","https://digitallounge-davos.com/"
WEF2026-013,"Motwani Jadeja Global Leaders Program","Leadership program taking place at the sidelines of WEF 2026 for emerging global leaders.","Leadership;Global Leaders;Mentorship;Networking;Development","Davos","TBA","2026-01-19 09:00","2026-01-23 18:00","",100,"Leadership",46.80217,9.83669,"Davos, Switzerland","https://mjf.world/davos/"
WEF2026-014,"Davos Lodge","Independent hub not affiliated with WEF offering alternative perspectives and networking opportunities.","Alternative Perspectives;Networking;Independent Forum;Dialogue","Talstrasse 52","Davos Lodge","2026-01-19 09:00","2026-01-23 20:00","",250,"Independent Events",46.80289,9.83534,"Talstrasse 52, Davos, 7270, Switzerland","https://www.davoslodge.com/"
WEF2026-015,"World Immune Regulation Meeting XX","20th annual scientific meeting on immunology, immune regulation, and therapeutic applications.","Immunology;Healthcare;Medical Research;Therapeutics;Science","Talstrasse 49A","Davos Congress Center","2026-03-11 08:00","2026-03-14 18:00","",400,"Health & Science",46.80217,9.83669,"Talstrasse 49A, Davos, 7270, Switzerland","https://www.wirm.ch/registration-abstracts/"
WEF2026-016,"REGEN House","Regenerative economy and sustainability focused programming during WEF Annual Meeting.","Regenerative Economy;Sustainability;Climate;ESG;Impact","Davos","REGEN House","2026-01-19 09:00","2026-01-23 18:00","",200,"Climate & Sustainability",46.80098,9.83423,"Davos, Switzerland","https://www.regen.house/davos"
WEF2026-017,"The Brain House Davos 2026","Focusing on brain health, Alzheimer's research, and neuroscience innovations during WEF Annual Meeting.","Brain Health;Alzheimers;Neuroscience;Healthcare;Research","Davos-Klosters","The Brain House","2026-01-19 09:00","2026-01-23 18:00","",180,"Health & Science",46.80512,9.83845,"Davos-Klosters, Switzerland","https://www.davosalzheimerscollaborative.org/brainhouse-davos-2026"
WEF2026-018,"Diplomatic Courier's Davos Dialogues 2026","High-level diplomatic discussions on global affairs, geopolitics, and international cooperation.","Diplomacy;Geopolitics;International Relations;Global Affairs;Policy","Promenade 63","Diplomatic Courier Venue","2026-01-20 09:00","2026-01-22 18:00","",150,"Geopolitics",46.80112,9.83512,"Promenade 63, Davos Platz, 7270, Switzerland","https://worldin2050.diplomaticourier.com/event/davos-dialogues-2026/"
WEF2026-019,"Monaco Day 2026","Monaco's official presence at Davos showcasing innovation, finance, and Mediterranean partnerships.","Monaco;Finance;Innovation;Mediterranean;Partnerships","Talstrasse 52","Monaco House Davos / Hotel Cresta Sun","2026-01-21 09:00","2026-01-21 18:00","",200,"Finance & Innovation",46.80289,9.83534,"Talstrasse 52, Davos, 7270, Switzerland","https://www.monacohousedavos.com/e/monaco-day-2026/signup"
WEF2026-020,"Africa Collective Davos 2026","Week-long African presence at Davos showcasing the continent's innovation, investment opportunities, and growth stories.","Africa;Investment;Innovation;Development;Emerging Markets","Tobelmühlestrasse 2","Hard Rock Hotel Davos","2026-01-19 09:00","2026-01-23 20:00","",350,"Emerging Markets",46.79834,9.83378,"Tobelmühlestrasse 2, Davos Platz, 7270, Switzerland","https://africacollective.com/davos"
WEF2026-021,"56th IDKD Davos 2026","International Diagnostic Course in Davos - premier radiology and medical imaging education.","Radiology;Medical Imaging;Healthcare;Education;Diagnostics","Talstrasse 49A","Congress Centre Davos","2026-01-19 08:00","2026-01-23 17:00","",500,"Health & Science",46.80217,9.83669,"Talstrasse 49A, Davos, 7270, Switzerland","https://www.idkd.org/courses/56th-idkd-davos-2026/"
WEF2026-022,"TPC House: East-West Bridge of Dialogue","An East-West Bridge of Dialogue for the Well-being Economy across two venues: Awakening House and Flourishing House.","Well-being Economy;East-West Dialogue;Mindfulness;Sustainable Development;Culture","Promenade 45","TPC House (Awakening House)","2026-01-19 09:00","2026-01-23 18:00","",200,"Well-being & Culture",46.79912,9.83398,"Promenade 45 and Promenade 40, Davos, 7270, Switzerland","https://tpchouse.com"
WEF2026-023,"9th Annual Blockchain Central Davos","The premier blockchain and crypto gathering at Davos, now in its 9th year.","Blockchain;Cryptocurrency;DeFi;Web3;Digital Assets","Promenade 87","Bioladen Davos","2026-01-19 10:00","2026-01-23 18:00","",250,"Blockchain & Web3",46.80867,9.83712,"Promenade 87, Davos, 7270, Switzerland","https://events.coinpedia.org/9th-annual-blockchain-central-davos-7420/"
WEF2026-024,"Circle at World Economic Forum 2026","Circle's official presence at WEF - by appointment only. Stablecoins, USDC, and digital currency discussions.","Stablecoins;USDC;Digital Currency;Fintech;Payments","Promenade 83","Circle HQ","2026-01-19 09:00","2026-01-23 18:00","",100,"Blockchain & Web3",46.80623,9.83678,"Promenade 83, Davos Platz, 7270, Switzerland","https://www.circle.com/davos"
WEF2026-025,"Bloomberg at Davos 2026","Bloomberg's signature programming featuring interviews, panels, and networking at Bloomberg House.","Media;Finance;Markets;Economics;Global Business","Davos","Bloomberg House","2026-01-19 08:00","2026-01-23 19:00","",300,"Media & Finance",46.80178,9.83598,"Davos, Switzerland","https://events.bloomberglive.com/event/davos-2026/overview"
WEF2026-026,"FQ Lounge @ Davos 2026","The Female Quotient's signature lounge advancing gender equality and women's leadership in business.","Gender Equality;Women Leadership;Diversity;Inclusion;Business","Promenade 40","FQ Lounge","2026-01-19 09:00","2026-01-23 18:00","",150,"Diversity & Inclusion",46.79878,9.83356,"Promenade 40, Davos, 7270, Switzerland","https://events.thefemalequotient.com/davos26/invite"
WEF2026-027,"Global Conversations Executive Lounge","High-level networking and dialogue during WEF. Wristband pick-up in Davos Platz district.","Executive Networking;Global Dialogue;Leadership;Business","Bahnhofstrasse 3","Executive Lounge (The Flower Shop)","2026-01-19 09:00","2026-01-23 18:00","",120,"Networking",46.79945,9.83389,"Bahnhofstrasse 3, Davos, 7270, Switzerland","https://www.globalconversations.ch/request-invitation"
WEF2026-028,"Forbes Middle East Hub at Davos 2026","Forbes Middle East's presence showcasing MENA region innovation, investment, and leadership.","Middle East;MENA;Investment;Innovation;Media","Promenade 121A","Blumen & WohnWerke","2026-01-19 09:00","2026-01-23 18:00","",180,"Media & Investment",46.81256,9.84523,"Promenade 121 A, Davos Dorf, 7260, Switzerland","https://forbesmiddleeastevents.com/forbes-middle-east-hub-at-davos-2026/"
WEF2026-029,"Economist Impact Hub","The Economist's discussion hub featuring debates and insights on global economic and policy issues.","Economics;Policy;Global Issues;Media;Analysis","Davos","Economist Impact Hub","2026-01-19 09:00","2026-01-23 18:00","",200,"Media & Economics",46.80134,9.83534,"Davos, Switzerland","https://events.economist.com/davos-hub/"
WEF2026-030,"House of Trust Davos Edition","Building trust in a fragmented world - exploring institutional trust and social cohesion.","Trust;Institutions;Social Cohesion;Governance;Leadership","Davos","House of Trust","2026-01-26 09:00","2026-01-26 18:00","",150,"Economy & Society",46.80245,9.83612,"Davos, Switzerland","https://yeswetrust.com/events"
WEF2026-031,"C3 AI at Davos 2026","Enterprise AI solutions and applications for business transformation.","Enterprise AI;Business Transformation;Data Science;Automation","Davos","C3 AI Venue","2026-01-19 09:00","2026-01-23 18:00","",150,"Technology & AI",46.80312,9.83689,"Davos, Switzerland","https://c3.ai/events/c3-ai-at-davos-2026/"
WEF2026-032,"Financial Times Davos","FT's signature programming and insights from Davos with leading voices in business and policy.","Media;Finance;Business;Policy;Journalism","Davos","FT Venue","2026-01-19 08:00","2026-01-23 18:00","",250,"Media & Finance",46.80356,9.83567,"Davos, Switzerland","https://ftdavos.live.ft.com/"
WEF2026-033,"WSJ Journal House","Wall Street Journal's exclusive content and networking during WEF week.","Media;Finance;Business;Journalism;Markets","Davos","WSJ Journal House","2026-01-19 08:00","2026-01-23 18:00","",200,"Media & Finance",46.80423,9.83723,"Davos, Switzerland","https://journalhouse.wsj.com/world-economic-forum/"
WEF2026-034,"Finnish Flow","Finland's official presence showcasing Nordic innovation, sustainability, and business excellence.","Finland;Nordic;Innovation;Sustainability;Business","Davos","Finnish Flow Venue","2026-01-19 09:00","2026-01-23 18:00","",150,"Innovation & Sustainability",46.80489,9.83789,"Davos, Switzerland","https://www.finnishflow.com/"
WEF2026-035,"Foreign Policy FP Davos 2026","Foreign Policy magazine's geopolitical discussions and analysis from Davos.","Foreign Policy;Geopolitics;International Relations;Security;Analysis","Davos","FP Venue","2026-01-19 09:00","2026-01-23 18:00","",180,"Geopolitics",46.80378,9.83645,"Davos, Switzerland","https://foreignpolicy.com/events/fp-davos-2026/"
WEF2026-036,"Kearney at WEF","Global management consulting perspectives on strategy, operations, and transformation.","Consulting;Strategy;Operations;Transformation;Business","Davos","Kearney Venue","2026-01-19 09:00","2026-01-23 18:00","",120,"Business & Strategy",46.80534,9.83812,"Davos, Switzerland","https://www.kearney.com/about/strategic-partnerships/world-economic-forum/"
WEF2026-037,"Futur.io House Davos 2026","Exploring exponential technologies and the future of humanity.","Exponential Technology;Future;Innovation;Foresight;Transformation","Davos","Futur.io House","2026-01-19 09:00","2026-01-23 18:00","",200,"Technology & Innovation",46.80589,9.83856,"Davos, Switzerland","https://www.futur.io/house/davos-2026"
WEF2026-038,"Health In Tech Summit Davos 2026","Healthcare technology innovation, digital health, and medical breakthroughs.","HealthTech;Digital Health;Medical Innovation;Healthcare;Technology","Davos","Health In Tech Venue","2026-01-20 09:00","2026-01-22 18:00","",220,"Health & Technology",46.80634,9.83912,"Davos, Switzerland","https://healthintech.investorroom.com/"
WEF2026-039,"Startup Greece Delegation at Davos 2026","Greek startup ecosystem showcase and networking at Davos.","Startups;Greece;Entrepreneurship;Innovation;Mediterranean","Davos","Greek Delegation Venue","2026-01-19 09:00","2026-01-23 18:00","",100,"Innovation & Startups",46.80678,9.83945,"Davos, Switzerland","https://www.eventbrite.com/e/startup-greece-delegation-at-davos2026-registration-1975365928668"
WEF2026-040,"World Woman Davos 2026","Advancing women's leadership and gender equality in global business and policy.","Women Leadership;Gender Equality;Diversity;Empowerment;Policy","Davos","World Woman Venue","2026-01-19 09:00","2026-01-23 18:00","",250,"Diversity & Inclusion",46.80723,9.83989,"Davos, Switzerland","https://swiss-congress.ch/conferences/world-woman-davos-agenda-2026/"
WEF2026-041,"Science House - Frontier Science","Exploring the frontiers of scientific discovery and their implications for society.","Science;Research;Innovation;Discovery;Technology","Davos","Science House","2026-01-19 09:00","2026-01-23 18:00","",180,"Science & Research",46.80767,9.84023,"Davos, Switzerland","https://sciencehouse.frontiersin.org/"
WEF2026-042,"World Biodiversity Forum","Global forum on biodiversity conservation, nature-based solutions, and ecosystem restoration.","Biodiversity;Conservation;Nature;Ecosystem;Environment","Davos","Biodiversity Forum Venue","2026-01-19 09:00","2026-01-23 18:00","",300,"Climate & Sustainability",46.80812,9.84067,"Davos, Switzerland","https://worldbiodiversityforum.org/registration/"
